takeoffThrust	launchMassKg	eccentricity	meanAltitude	periodMinutes	vehicleLength	classOfOrbit
4940	172	0.00858	680.5	98.36	55	LEO
4940	4700	0.00153	35719.5	1432.69	55	GEO
4940	172	0.00844	679.5	98.34	55	LEO
4940	172	0.00314	636	97.44	55	LEO
4940	3325	0.000119	35791	1436.3	55	GEO
4940	4500	0.000142	35787	1436.1	55	GEO
4940	172	0.00307	635.5	97.43	55	LEO
4940	172	0.00858	679.5	98.35	55	LEO
4940	172	0.00307	636.5	97.44	55	LEO
4940	172	0.00286	634	97.4	55	LEO
4940	172	0.00314	636	97.43	55	LEO
4940	172	0.00314	636	97.43	55	LEO
4940	172	0.003	635	97.41	55	LEO
4940	172	0.00865	680	98.36	55	LEO
4940	172	0.003	635	97.42	55	LEO
4940	2000	0.000178	35795.5	1436	55	GEO
7420	2110	0	35775	1436.1	49	GEO
7420	1982	0.000557	35786.5	1436.1	49	GEO
892	3	0.000881	443	94.68	19	LEO
892	137	0.000728	502	94.66	19	LEO
892	3	0.000436	503	94.6	19	LEO
2095	93	0.0815	890	102.77	34	LEO
580	110	0.00422	746	99.7	16	LEO
580	110	0.00176	747.5	99.8	16	LEO
580	45	0.000419	791	100.7	16	LEO
580	45	0.00042	773	100.3	16	LEO
580	45	0.00014	773	100.3	16	LEO
580	45	0.00014	773	100.3	16	LEO
580	293	0.00116	543	95.5	16	LEO
580	45	0.00042	773	100.3	16	LEO
580	45	0.00014	791	100.7	16	LEO
580	45	0.000349	791.5	100.7	16	LEO
580	45	0.000835	816	101.21	16	LEO
580	45	0.00056	773	100.3	16	LEO
580	45	0.00021	772.5	100.3	16	LEO
580	45	0.00056	773	100.3	16	LEO
580	45	0.0007	773	100.3	16	LEO
726	45	0.0000698	791.5	100.7	17	LEO
726	45	0.000489	791.5	100.7	17	LEO
726	45	0.000559	792	100.7	17	LEO
726	150	0.000784	643.5	97.6	17	LEO
726	215	0.0023	806.5	101	17	LEO
726	45	0.000489	791.5	100.7	17	LEO
726	315	0.00236	616.5	97	17	LEO
726	45	0.000489	791.5	100.7	17	LEO
726	45	0.000628	791.5	100.7	17	LEO
726	215	0.000578	548	96.2	17	LEO
726	45	0.000349	791.5	100.7	17	LEO
726	45	0.000489	791.5	100.7	17	LEO
726	45	0.000698	791	100.7	17	LEO
726	45	0.000628	791.5	100.7	17	LEO
726	360	0.00136	622.5	97.2	17	LEO
726	45	0.000489	791.5	100.7	17	LEO
726	45	0.000489	791.5	100.7	17	LEO
5290	720	0.000212	697.5	98.73	44	LEO
5290	447	0.00192	649.5	97.71	44	LEO
5290	4	0.000769	777.5	100.4	44	LEO
5290	14	0.000979	777	100.3	44	LEO
5290	3	0.00187	852.5	102	44	LEO
5290	91	0.00157	647	97.66	44	LEO
5290	1	0.000776	715.5	99.1	44	LEO
5290	1432	0.00219	35787.5	1436.14	44	GEO
5290	447	0.00192	649.5	97.71	44	LEO
5290	1	0.000706	715	99.1	44	LEO
5290	29	0.00138	857	102.1	44	LEO
5290	1000	0.00104	860.5	102.2	44	LEO
5290	148	0.00105	779.5	100.4	44	LEO
5290	74	0.000979	779	100.4	44	LEO
5290	6	0.00122	623.5	97.2	44	LEO
5290	960	0.000141	723	99.2	44	LEO
5290	1	0.000635	713.5	99	44	LEO
5290	130	0.000142	673	98.2	44	LEO
5290	447	0.00178	648.5	97.69	44	LEO
5290	5	0.00084	777	100.3	44	LEO
5290	1	0.00143	621	97.1	44	LEO
5290	694	0.00164	633.5	97.4	44	LEO
5290	1425	0.0019	35792	1436	44	GEO
5290	407	0.00021	783.5	100.53	44	LEO
5290	11	0.00124	859	102.1	44	LEO
1870	280	0.00197	1494.5	115.87	29	LEO
1870	280	0.00197	1495.5	115.9	29	LEO
1870	270	0.000953	1500.5	116	29	LEO
1870	45	0.00184	1493.5	115.8	29	LEO
1870	270	0.000953	1501.5	116.02	29	LEO
1870	280	0.00197	1493.5	115.84	29	LEO
1870	270	0.00159	1494.5	115.86	29	LEO
1870	270	0.00197	1495.5	115.9	29	LEO
1870	468	0.000219	474.5	93.9	29	LEO
1870	468	0.000219	474.5	93.9	29	LEO
1870	280	0.00203	1494	115.85	29	LEO
